model,dataset,split,roc_auc,pr_auc,accuracy,precision,recall,f1,tn,fp,fn,tp,ece,brier,mean_predicted,observed_rate,architecture,seed
logreg,support2,test,0.9005660882963756,0.7692652044623556,0.8316251830161054,0.6365638766519823,0.8163841807909604,0.7153465346534653,847,165,65,289,0.11078553806886754,0.12303083389997482,0.36993634700775146,0.25915080308914185,mlp,0
xgboost,support2,test,0.8982101784238852,0.7606202692011651,0.8462664714494875,0.74,0.6271186440677966,0.6788990825688074,934,78,132,222,0.07874020825564251,0.11448559910058975,0.23537389934062958,0.25915080308914185,mlp,0
mlp_ensemble,support2,test,0.8969094035416806,0.7618594834266557,0.8389458272327965,0.6565420560747663,0.7937853107344632,0.7186700767263428,865,147,73,281,0.09461532594938797,0.11867605894804001,0.35376614332199097,0.25915080308914185,mlp,0
hgb,support2,test,0.8960747861816395,0.7644378356538807,0.8521229868228404,0.740506329113924,0.6610169491525424,0.6985074626865672,930,82,120,234,0.0316951150981517,0.10683180974878594,0.25764497617356164,0.25915080308914185,mlp,0
mlp_member0,support2,test,0.8940091779995979,0.7587829170994137,0.8345534407027818,0.6474654377880185,0.7937853107344632,0.7131979695431472,859,153,73,281,0.09890936371648078,0.12059740722179413,0.3564361333847046,0.25915080308914185,mlp,0
