method,infidelity,infidelity,infidelity,instability,instability,instability,complexity,complexity,complexity,risk,risk,risk,dataset,architecture,seed
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,,,
ig,0.004575272790680174,0.0033763745220829347,40,0.10787835419178009,0.07576310480345747,40,0.7323627832116959,0.05744551500403626,40,0.5134375,0.22739796775076832,40,support2,mlp,0
shap,0.004239393028026927,0.0023529966576878963,40,1.01235367332172,0.38735445918237926,40,0.6945375426688329,0.05781521780901471,40,0.515625,0.16879450979952382,40,support2,mlp,0
