alpha,crc_threshold,coverage,population_risk,selective_risk,n,guarantee_met,dataset,architecture,seed
0.05,0.18740591406822205,0.075,0.0096875,0.12916666666666668,40,True,support2,mlp,0
0.1,0.2907851040363312,0.375,0.11625,0.30999999999999994,40,False,support2,mlp,0
0.15,0.3338421583175659,0.475,0.1565625,0.32960526315789473,40,False,support2,mlp,0
0.2,0.41846540570259094,0.625,0.23500000000000001,0.3760000000000001,40,False,support2,mlp,0
0.3,0.5367782115936279,0.725,0.2890625,0.39870689655172414,40,True,support2,mlp,0
